mus_triL_hum_ax.Xma,mus_triL_hum_ax.Yma,mus_triL_hum_ax.Zma,mus_triL_scap_ax.Xma,mus_triL_scap_ax.Yma,mus_triL_scap_ax.Zma
1.971058862,0.8437424907,0.4893666543,1.971058862,0.8437424907,0.4893666543
1.971058862,0.8437424907,0.4893666543,1.971058862,0.8437424907,0.4893666543
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
1.898980344,1.019382219,-0.2435867321,1.344271666,1.695274802,-0.006835217711
1.88845489,1.020302543,-0.3193428015,1.322881032,1.71081661,-0.01965774172
1.874270898,1.019462162,-0.3996824854,1.300821729,1.725446873,-0.03245606185
1.855621628,1.016651665,-0.4804755301,1.279433149,1.73794179,-0.04435112901
1.831888532,1.011664759,-0.5578204433,1.260153259,1.747207372,-0.05446594357
1.802846323,1.004193837,-0.6287269908,1.244513876,1.752349693,-0.06194891908
1.768934628,0.9938897299,-0.6917722049,1.234085223,1.752747536,-0.06601683203
1.731525025,0.9806425443,-0.7475298054,1.230322081,1.748094366,-0.06602585212
1.693043385,0.9650155707,-0.798485381,1.234327984,1.738352667,-0.06154692247
1.65681939,0.9486189676,-0.8481935019,1.246650624,1.723585784,-0.05239202029
1.626631568,0.9341348184,-0.8996617497,1.267293562,1.703707007,-0.03853345391
1.606034113,0.924795022,-0.9533443337,1.296065461,1.678236805,-0.01989779628
1.597620023,0.9233814525,-1.005552597,1.333165044,1.646142105,0.003904414517
1.602438073,0.931100013,-1.048268862,1.379610103,1.605783886,0.03375684336
1.619790626,0.9467895994,-1.071021405,1.43693698,1.555033726,0.07088821029
1.647423476,0.9668827787,-1.064559702,1.505756316,1.491777491,0.1161727097
1.681810745,0.9864135967,-1.024989448,1.583598717,1.415186854,0.1689276496
1.718479248,1.00100081,-0.9564854723,1.663778906,1.327742917,0.2258682468
1.752930794,1.008922803,-0.8708894819,1.737126853,1.236641438,0.281335499
1.782190044,1.011773876,-0.7836639388,1.795955662,1.152393396,0.3292233168
1.805651809,1.013042986,-0.7081018973,1.837038582,1.084518113,0.3654153021
1.824348812,1.015823068,-0.651229038,1.861591196,1.037376195,0.3890453185
1.839583169,1.021407696,-0.613174828,1.873465523,1.009020312,0.402163458
1.852212971,1.029337089,-0.5891371824,1.87746997,0.9930821964,0.4085264105
1.862762985,1.038297615,-0.5722311983,1.878306428,0.9818859446,0.4122481969
1.871751709,1.047030812,-0.5560037118,1.879790549,0.969064244,0.4167094631
1.879777124,1.054762488,-0.5359797064,1.884278871,0.9508489523,0.4239480913
1.887364358,1.061149482,-0.5101123856,1.892521204,0.9260787501,0.4346011237
1.894797765,1.066050546,-0.4784377278,1.903996114,0.8954636684,0.4482552174
1.902072063,1.069400766,-0.4423850478,1.917493535,0.8606855498,0.4639408794
1.908960386,1.071239807,-0.4040633196,1.931656845,0.8236855581,0.4805543401
1.915143167,1.071778832,-0.3656565624,1.945337787,0.7862338341,0.4971226198
